,Asset Index,Consumption,CDR,Combined
Asset Index,100.00%,16.09%,0.00%,39.08%
Consumption,16.09%,100.00%,32.18%,49.43%
CDR,0.00%,32.56%,100.00%,27.91%
Combined,33.01%,41.75%,23.30%,100.00%
