Model,r2 or AUC,Top Five Features
Linear Regression,0.98,Below Poverty Line
LASSO Regression,-0.0,Below Poverty Line
Random Forest,0.16,"BOC WE Night Call Kurtosis, CD Night Call Mean, Entropy Antennas WD Day, RD Text WE  Kurtosis, IT Recharges WD Day Median"
Gradient Boosting,0.99,"CD WE Night Call Median, CD Night Call Mean, CD  Call Min, RR Text WD, BOC WD Night Call Std"
