,feature,importance
0,asset_radio_cd_player,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,asset_tv,
2,asset_tv_dish,
3,asset_vcr_dvd_player,
4,asset_refridgerator,
5,asset_generator,
6,asset_matress,
7,asset_mobile_phone,
8,asset_non_mobile_phone,
9,asset_iron,
10,asset_bed_frame,
11,asset_jewelry,
12,asset_mosquito_net,
13,asset_mosquito_repellent_candle,
14,asset_fan,
15,asset_camera,
