,feature,importance
122,balance_of_contacts__allweek__night__call__min,0.0
123,balance_of_contacts__allweek__night__call__max,0.01014368761319734
124,balance_of_contacts__allweek__night__text__mean,0.0
125,balance_of_contacts__allweek__night__text__std,0.0
126,balance_of_contacts__allweek__night__text__median,0.0
127,balance_of_contacts__allweek__night__text__skewness,0.007050568659100258
128,balance_of_contacts__allweek__night__text__min,0.0
129,balance_of_contacts__weekday__allday__call__mean,0.0
130,balance_of_contacts__weekday__allday__call__std,0.0
131,balance_of_contacts__weekday__allday__call__median,0.00748155490359321
132,balance_of_contacts__weekday__allday__text__mean,0.007591456896013782
133,balance_of_contacts__weekday__allday__text__std,0.0
134,balance_of_contacts__weekday__allday__text__median,0.0
135,balance_of_contacts__weekday__day__call__std,0.005968763556921818
136,balance_of_contacts__weekday__day__call__median,0.0
137,balance_of_contacts__weekday__day__call__min,0.0
138,balance_of_contacts__weekday__day__text__mean,0.0
139,balance_of_contacts__weekday__day__text__median,0.005344166846327757
140,balance_of_contacts__weekday__day__text__kurtosis,0.0
141,balance_of_contacts__weekday__day__text__min,0.008797853596070217
142,balance_of_contacts__weekday__night__call__mean,0.0
143,balance_of_contacts__weekday__night__call__std,0.0
144,balance_of_contacts__weekday__night__call__skewness,0.0
145,balance_of_contacts__weekday__night__call__max,0.007043771284108906
146,balance_of_contacts__weekday__night__text__mean,0.007373383291870562
147,balance_of_contacts__weekday__night__text__std,0.005136962070686813
148,balance_of_contacts__weekday__night__text__median,0.0
149,balance_of_contacts__weekday__night__text__kurtosis,0.02387197324780894
150,balance_of_contacts__weekday__night__text__min,0.006396977171283284
151,balance_of_contacts__weekend__allday__call__std,0.006833512524923962
152,balance_of_contacts__weekend__allday__call__skewness,0.00416475550038097
153,balance_of_contacts__weekend__allday__call__kurtosis,0.0
154,balance_of_contacts__weekend__allday__text__std,0.0
155,balance_of_contacts__weekend__allday__text__median,0.007796407392424705
156,balance_of_contacts__weekend__allday__text__kurtosis,0.0
157,balance_of_contacts__weekend__day__call__std,0.0
158,balance_of_contacts__weekend__day__call__kurtosis,0.0
159,balance_of_contacts__weekend__day__call__min,0.0177426359766614
160,balance_of_contacts__weekend__day__text__mean,0.007535519235151673
161,balance_of_contacts__weekend__day__text__std,0.0
162,balance_of_contacts__weekend__day__text__median,0.0
163,balance_of_contacts__weekend__day__text__min,0.0
164,balance_of_contacts__weekend__day__text__max,0.004744333235969155
165,balance_of_contacts__weekend__night__call__mean,0.008744528628578581
166,balance_of_contacts__weekend__night__call__std,0.0
167,balance_of_contacts__weekend__night__call__skewness,0.0149338797480962
168,balance_of_contacts__weekend__night__call__kurtosis,0.0
169,balance_of_contacts__weekend__night__text__median,0.0
170,balance_of_contacts__weekend__night__text__skewness,0.00843182916599719
171,balance_of_contacts__weekend__night__text__kurtosis,0.0
172,balance_of_contacts__weekend__night__text__min,0.0
173,interactions_per_contact__allweek__allday__call__skewness,0.0
174,interactions_per_contact__allweek__allday__text__skewness,0.0
175,interactions_per_contact__allweek__allday__text__kurtosis,0.0
176,interactions_per_contact__allweek__allday__text__min,0.0
177,interactions_per_contact__allweek__day__call__std,0.0
178,interactions_per_contact__allweek__day__call__median,0.0
179,interactions_per_contact__allweek__day__text__mean,0.0
180,interactions_per_contact__allweek__day__text__std,0.00982444320992392
181,interactions_per_contact__allweek__day__text__median,0.0
182,interactions_per_contact__allweek__day__text__max,0.0
183,interactions_per_contact__allweek__night__call__std,0.0
184,interactions_per_contact__allweek__night__call__skewness,0.011419944890383373
185,interactions_per_contact__allweek__night__call__kurtosis,0.01439888928027042
186,interactions_per_contact__allweek__night__text__mean,0.006388995632139055
187,interactions_per_contact__allweek__night__text__median,0.010232203331850266
188,interactions_per_contact__allweek__night__text__min,0.0
189,interactions_per_contact__allweek__night__text__max,0.008391506735858718
190,interactions_per_contact__weekday__allday__call__skewness,0.0
191,interactions_per_contact__weekday__allday__call__kurtosis,0.0
192,interactions_per_contact__weekday__allday__call__max,0.0
193,interactions_per_contact__weekday__allday__text__std,0.01610931629844401
194,interactions_per_contact__weekday__allday__text__kurtosis,0.0
195,interactions_per_contact__weekday__allday__text__max,0.0
196,interactions_per_contact__weekday__day__call__mean,0.0
197,interactions_per_contact__weekday__day__call__std,0.0
198,interactions_per_contact__weekday__day__call__kurtosis,0.0
199,interactions_per_contact__weekday__day__text__median,0.0
200,interactions_per_contact__weekday__day__text__kurtosis,0.0
201,interactions_per_contact__weekday__day__text__min,0.00985631238680266
202,interactions_per_contact__weekday__night__call__mean,0.0
203,interactions_per_contact__weekday__night__call__std,0.0
204,interactions_per_contact__weekday__night__call__median,0.004607782121949519
205,interactions_per_contact__weekday__night__call__skewness,0.0
206,interactions_per_contact__weekday__night__text__mean,0.0
207,interactions_per_contact__weekday__night__text__std,0.0
208,interactions_per_contact__weekday__night__text__skewness,0.0
209,interactions_per_contact__weekend__allday__call__mean,0.0
210,interactions_per_contact__weekend__allday__call__std,0.0
211,interactions_per_contact__weekend__allday__call__skewness,0.01225025305842776
212,interactions_per_contact__weekend__allday__call__kurtosis,0.0
213,interactions_per_contact__weekend__allday__call__max,0.0
214,interactions_per_contact__weekend__allday__text__median,0.0
215,interactions_per_contact__weekend__allday__text__skewness,0.0
216,interactions_per_contact__weekend__day__call__mean,0.0
217,interactions_per_contact__weekend__day__call__std,0.0
218,interactions_per_contact__weekend__day__call__kurtosis,0.018098485550285575
219,interactions_per_contact__weekend__day__call__min,0.0
220,interactions_per_contact__weekend__day__text__std,0.006439593989114525
221,interactions_per_contact__weekend__day__text__skewness,0.0
222,interactions_per_contact__weekend__day__text__min,0.0
223,interactions_per_contact__weekend__day__text__max,0.0
224,interactions_per_contact__weekend__night__call__mean,0.0
225,interactions_per_contact__weekend__night__call__std,0.0
226,interactions_per_contact__weekend__night__call__min,0.0089374919012386
227,interactions_per_contact__weekend__night__call__max,0.0
228,interactions_per_contact__weekend__night__text__median,0.0
229,interevent_time__allweek__allday__call__median,0.0
230,interevent_time__allweek__allday__call__kurtosis,0.0
231,interevent_time__allweek__allday__call__min,0.0
232,interevent_time__allweek__allday__text__median,0.0
233,interevent_time__allweek__allday__text__skewness,0.0
234,interevent_time__allweek__allday__text__kurtosis,0.0
235,interevent_time__allweek__day__call__skewness,0.0
236,interevent_time__allweek__day__call__kurtosis,0.0
237,interevent_time__allweek__day__call__max,0.0
238,interevent_time__allweek__day__text__mean,0.0
239,interevent_time__allweek__day__text__skewness,0.0
240,interevent_time__allweek__day__text__kurtosis,0.0065141703457676356
241,interevent_time__allweek__day__text__min,0.0
242,interevent_time__allweek__night__call__mean,0.0
243,interevent_time__allweek__night__call__kurtosis,0.0
244,interevent_time__allweek__night__text__mean,0.0
245,interevent_time__allweek__night__text__median,0.005331290444006696
246,interevent_time__allweek__night__text__kurtosis,0.0
247,interevent_time__allweek__night__text__max,0.0
248,interevent_time__weekday__allday__call__skewness,0.0
249,interevent_time__weekday__allday__call__max,0.0
250,interevent_time__weekday__allday__text__mean,0.004320395675379327
251,interevent_time__weekday__allday__text__std,0.0
252,interevent_time__weekday__allday__text__skewness,0.0
253,interevent_time__weekday__allday__text__kurtosis,0.008569871888358116
254,interevent_time__weekday__day__call__mean,0.0
255,interevent_time__weekday__day__call__kurtosis,0.0
256,interevent_time__weekday__day__call__min,0.0
257,interevent_time__weekday__day__text__mean,0.023884033171847004
258,interevent_time__weekday__day__text__kurtosis,0.007310044571495422
259,interevent_time__weekday__day__text__min,0.0
260,interevent_time__weekday__night__call__median,0.009767796668149734
261,interevent_time__weekday__night__call__kurtosis,0.0
262,interevent_time__weekday__night__call__min,0.0
263,interevent_time__weekday__night__call__max,0.0141314846045604
264,interevent_time__weekday__night__text__median,0.0
265,interevent_time__weekday__night__text__kurtosis,0.0
266,interevent_time__weekday__night__text__min,0.0
267,interevent_time__weekday__night__text__max,0.0
268,interevent_time__weekend__allday__call__median,0.0
269,interevent_time__weekend__allday__call__skewness,0.009742285383041597
270,interevent_time__weekend__allday__text__skewness,0.006573841682096797
271,interevent_time__weekend__allday__text__kurtosis,0.0
272,interevent_time__weekend__day__call__mean,0.0
273,interevent_time__weekend__day__text__mean,0.0
274,interevent_time__weekend__day__text__std,0.023111148065092575
275,interevent_time__weekend__day__text__median,0.0
276,interevent_time__weekend__day__text__skewness,0.00535205874511824
277,interevent_time__weekend__day__text__kurtosis,0.0
278,interevent_time__weekend__day__text__min,0.0
279,interevent_time__weekend__night__call__std,0.007931730298460317
280,interevent_time__weekend__night__call__skewness,0.0
281,interevent_time__weekend__night__call__max,0.0
282,interevent_time__weekend__night__text__median,0.009852795252679535
283,interevent_time__weekend__night__text__max,0.0
284,percent_pareto_interactions__allweek__allday__text,0.007043765889805252
285,percent_pareto_interactions__allweek__day__call,0.0
286,percent_pareto_interactions__allweek__night__call,0.0
287,percent_pareto_interactions__allweek__night__text,0.006158539001850439
288,percent_pareto_interactions__weekday__night__call,0.0
289,percent_pareto_interactions__weekday__night__text,0.0
290,percent_pareto_interactions__weekend__day__call,0.0
291,percent_pareto_interactions__weekend__day__text,0.0
292,percent_pareto_interactions__weekend__night__call,0.0
293,percent_pareto_interactions__weekend__night__text,0.0
294,percent_pareto_durations__weekday__allday__call,0.009996643386931492
295,percent_pareto_durations__weekday__day__call,0.0
296,percent_pareto_durations__weekday__night__call,0.0
297,percent_pareto_durations__weekend__night__call,0.0
298,number_of_interactions__allweek__day__call,0.011817591608670608
299,number_of_interactions__allweek__day__text,0.0
300,number_of_interactions__weekday__allday__call,0.0
301,number_of_interactions__weekday__day__call,0.0
302,number_of_interactions__weekday__day__text,0.0
303,number_of_interactions__weekday__night__text,0.0
304,number_of_interactions__weekend__allday__call,0.00965126139128667
305,number_of_interactions__weekend__day__call,0.0
306,number_of_interaction_in__allweek__allday__call,0.0
307,number_of_interaction_in__allweek__day__text,0.0
308,number_of_interaction_in__allweek__night__text,0.008127390169269121
309,number_of_interaction_in__weekday__allday__text,0.0
310,number_of_interaction_in__weekday__day__call,0.0
311,number_of_interaction_in__weekday__day__text,0.009837473713463352
312,number_of_interaction_in__weekday__night__text,0.0
313,number_of_interaction_in__weekend__allday__call,0.006819569101394263
314,number_of_interaction_in__weekend__day__call,0.011103491175956383
315,number_of_interaction_in__weekend__day__text,0.005631840848293605
316,number_of_interaction_out__allweek__allday__call,0.0
317,number_of_interaction_out__allweek__allday__text,0.0
318,number_of_interaction_out__allweek__day__call,0.0
319,number_of_interaction_out__allweek__day__text,0.0
320,number_of_interaction_out__allweek__night__text,0.006795534521390214
321,number_of_interaction_out__weekday__allday__call,0.0
322,number_of_interaction_out__weekday__day__call,0.006271619763823599
323,number_of_interaction_out__weekday__day__text,0.0
324,number_of_interaction_out__weekday__night__call,0.0
325,number_of_interaction_out__weekend__allday__call,0.0
326,number_of_interaction_out__weekend__day__call,0.0
327,number_of_interaction_out__weekend__night__text,0.0
328,number_of_antennas__allweek__allday,0.0093870406150548
329,number_of_antennas__allweek__day,0.0
330,number_of_antennas__allweek__night,0.0
331,number_of_antennas__weekday__allday,0.004612658019626539
332,number_of_antennas__weekday__day,0.0
333,number_of_antennas__weekday__night,0.0
334,number_of_antennas__weekend__night,0.0
335,entropy_of_antennas__allweek__allday,0.008182408391329393
336,entropy_of_antennas__weekday__day,0.006026556552386295
337,entropy_of_antennas__weekday__night,0.006300959796365523
338,entropy_of_antennas__weekend__night,0.0
339,percent_at_home__weekday__allday,0.0
340,percent_at_home__weekday__day,0.0
341,percent_at_home__weekend__night,0.0
342,radius_of_gyration__allweek__allday,0.0
343,radius_of_gyration__allweek__night,0.0
344,radius_of_gyration__weekday__day,0.0
345,radius_of_gyration__weekday__night,0.0
346,radius_of_gyration__weekend__allday,0.0
347,radius_of_gyration__weekend__day,0.0
348,radius_of_gyration__weekend__night,0.0
349,frequent_antennas__weekday__day,0.0
350,frequent_antennas__weekday__night,0.0
351,frequent_antennas__weekend__day,0.0
352,frequent_antennas__weekend__night,0.0
353,churn_rate__std,0.0
354,amount_recharges__allweek__allday__median,0.0
355,amount_recharges__allweek__allday__skewness,0.0
356,amount_recharges__allweek__day__mean,0.0
357,amount_recharges__allweek__day__std,0.0
358,amount_recharges__allweek__day__skewness,0.005175593105484527
359,amount_recharges__allweek__day__kurtosis,0.0
360,amount_recharges__allweek__day__max,0.0
361,amount_recharges__allweek__night__std,0.0
362,amount_recharges__allweek__night__median,0.007471632974008288
363,amount_recharges__allweek__night__min,0.0
364,amount_recharges__weekday__allday__mean,0.0
365,amount_recharges__weekday__allday__std,0.0
366,amount_recharges__weekday__day__std,0.0
367,amount_recharges__weekday__day__kurtosis,0.0
368,amount_recharges__weekday__night__mean,0.0
369,amount_recharges__weekday__night__kurtosis,0.0
370,amount_recharges__weekday__night__min,0.0
371,amount_recharges__weekend__allday__std,0.0
372,amount_recharges__weekend__allday__skewness,0.011608493264141283
373,amount_recharges__weekend__allday__min,0.0
374,amount_recharges__weekend__day__skewness,0.01825300318125646
375,amount_recharges__weekend__day__min,0.008523751012884637
376,amount_recharges__weekend__night__mean,0.0
377,amount_recharges__weekend__night__kurtosis,0.0
378,amount_recharges__weekend__night__max,0.0
379,interevent_time_recharges__allweek__allday__std,0.0
380,interevent_time_recharges__allweek__allday__skewness,0.0
381,interevent_time_recharges__allweek__day__std,0.0
382,interevent_time_recharges__allweek__day__skewness,0.010211382823189645
383,interevent_time_recharges__allweek__day__kurtosis,0.0
384,interevent_time_recharges__allweek__day__min,0.0
385,interevent_time_recharges__allweek__night__mean,0.0
386,interevent_time_recharges__allweek__night__std,0.0
387,interevent_time_recharges__allweek__night__median,0.0
388,interevent_time_recharges__allweek__night__min,0.016243891503623934
389,interevent_time_recharges__allweek__night__max,0.0
390,interevent_time_recharges__weekday__allday__std,0.0
391,interevent_time_recharges__weekday__allday__median,0.0
392,interevent_time_recharges__weekday__allday__skewness,0.0
393,interevent_time_recharges__weekday__allday__kurtosis,0.0
394,interevent_time_recharges__weekday__allday__min,0.0
395,interevent_time_recharges__weekday__allday__max,0.003519238278264386
396,interevent_time_recharges__weekday__day__median,0.021291177151149726
397,interevent_time_recharges__weekday__day__skewness,0.011435764881675818
398,interevent_time_recharges__weekday__day__min,0.0
399,interevent_time_recharges__weekday__day__max,0.0
400,interevent_time_recharges__weekday__night__median,0.0
401,interevent_time_recharges__weekday__night__skewness,0.0
402,interevent_time_recharges__weekday__night__kurtosis,0.0
403,interevent_time_recharges__weekday__night__max,0.0
404,interevent_time_recharges__weekend__allday__median,0.0
405,interevent_time_recharges__weekend__allday__skewness,0.0
406,interevent_time_recharges__weekend__allday__kurtosis,0.0
407,interevent_time_recharges__weekend__allday__min,0.0
408,interevent_time_recharges__weekend__day__std,0.0
409,interevent_time_recharges__weekend__day__min,0.0
410,interevent_time_recharges__weekend__day__max,0.0
411,percent_pareto_recharges__allweek__day,0.0
412,percent_pareto_recharges__weekday__allday,0.0
413,percent_pareto_recharges__weekday__day,0.0
414,percent_pareto_recharges__weekday__night,0.007321041709056026
415,percent_pareto_recharges__weekend__night,0.0
416,number_of_recharges__allweek__night,0.0
417,number_of_recharges__weekday__allday,0.0
418,number_of_recharges__weekday__day,0.0
419,number_of_recharges__weekday__night,0.0
420,number_of_recharges__weekend__day,0.006629370386183616
