,feature,importance
139,balance_of_contacts__weekday__day__call__min,0
140,balance_of_contacts__weekday__day__text__mean,0
141,balance_of_contacts__weekday__day__text__median,0
142,balance_of_contacts__weekday__day__text__kurtosis,0
143,balance_of_contacts__weekday__day__text__min,0
144,balance_of_contacts__weekday__night__call__mean,0
145,balance_of_contacts__weekday__night__call__std,0
146,balance_of_contacts__weekday__night__call__skewness,0
147,balance_of_contacts__weekday__night__call__max,0
148,balance_of_contacts__weekday__night__text__mean,0
149,balance_of_contacts__weekday__night__text__std,0
150,balance_of_contacts__weekday__night__text__median,0
151,balance_of_contacts__weekday__night__text__kurtosis,0
152,balance_of_contacts__weekday__night__text__min,2
153,balance_of_contacts__weekend__allday__call__std,0
154,balance_of_contacts__weekend__allday__call__skewness,0
155,balance_of_contacts__weekend__allday__call__kurtosis,0
156,balance_of_contacts__weekend__allday__text__std,0
157,balance_of_contacts__weekend__allday__text__median,0
158,balance_of_contacts__weekend__allday__text__kurtosis,1
159,balance_of_contacts__weekend__day__call__std,0
160,balance_of_contacts__weekend__day__call__kurtosis,1
161,balance_of_contacts__weekend__day__call__min,0
162,balance_of_contacts__weekend__day__text__mean,0
163,balance_of_contacts__weekend__day__text__std,0
164,balance_of_contacts__weekend__day__text__median,0
165,balance_of_contacts__weekend__day__text__min,0
166,balance_of_contacts__weekend__day__text__max,0
167,balance_of_contacts__weekend__night__call__mean,0
168,balance_of_contacts__weekend__night__call__std,0
169,balance_of_contacts__weekend__night__call__skewness,0
170,balance_of_contacts__weekend__night__call__kurtosis,0
171,balance_of_contacts__weekend__night__text__median,0
172,balance_of_contacts__weekend__night__text__skewness,0
173,balance_of_contacts__weekend__night__text__kurtosis,0
174,balance_of_contacts__weekend__night__text__min,0
175,interactions_per_contact__allweek__allday__call__skewness,0
176,interactions_per_contact__allweek__allday__text__skewness,0
177,interactions_per_contact__allweek__allday__text__kurtosis,0
178,interactions_per_contact__allweek__allday__text__min,2
179,interactions_per_contact__allweek__day__call__std,0
180,interactions_per_contact__allweek__day__call__median,0
181,interactions_per_contact__allweek__day__text__mean,1
182,interactions_per_contact__allweek__day__text__std,0
183,interactions_per_contact__allweek__day__text__median,0
184,interactions_per_contact__allweek__day__text__max,0
185,interactions_per_contact__allweek__night__call__std,0
186,interactions_per_contact__allweek__night__call__skewness,0
187,interactions_per_contact__allweek__night__call__kurtosis,0
188,interactions_per_contact__allweek__night__text__mean,0
189,interactions_per_contact__allweek__night__text__median,0
190,interactions_per_contact__allweek__night__text__min,0
191,interactions_per_contact__allweek__night__text__max,5
192,interactions_per_contact__weekday__allday__call__skewness,0
193,interactions_per_contact__weekday__allday__call__kurtosis,0
194,interactions_per_contact__weekday__allday__call__max,2
195,interactions_per_contact__weekday__allday__text__std,0
196,interactions_per_contact__weekday__allday__text__kurtosis,0
197,interactions_per_contact__weekday__allday__text__max,0
198,interactions_per_contact__weekday__day__call__mean,0
199,interactions_per_contact__weekday__day__call__std,0
200,interactions_per_contact__weekday__day__call__kurtosis,0
201,interactions_per_contact__weekday__day__text__median,0
202,interactions_per_contact__weekday__day__text__kurtosis,0
203,interactions_per_contact__weekday__day__text__min,0
204,interactions_per_contact__weekday__night__call__mean,0
205,interactions_per_contact__weekday__night__call__std,1
206,interactions_per_contact__weekday__night__call__median,2
207,interactions_per_contact__weekday__night__call__skewness,0
208,interactions_per_contact__weekday__night__text__mean,0
209,interactions_per_contact__weekday__night__text__std,1
210,interactions_per_contact__weekday__night__text__skewness,1
211,interactions_per_contact__weekend__allday__call__mean,1
212,interactions_per_contact__weekend__allday__call__std,6
213,interactions_per_contact__weekend__allday__call__skewness,0
214,interactions_per_contact__weekend__allday__call__kurtosis,0
215,interactions_per_contact__weekend__allday__call__max,0
216,interactions_per_contact__weekend__allday__text__median,0
217,interactions_per_contact__weekend__allday__text__skewness,1
218,interactions_per_contact__weekend__day__call__mean,0
219,interactions_per_contact__weekend__day__call__std,0
220,interactions_per_contact__weekend__day__call__kurtosis,0
221,interactions_per_contact__weekend__day__call__min,0
222,interactions_per_contact__weekend__day__text__std,0
223,interactions_per_contact__weekend__day__text__skewness,2
224,interactions_per_contact__weekend__day__text__min,5
225,interactions_per_contact__weekend__day__text__max,1
226,interactions_per_contact__weekend__night__call__mean,0
227,interactions_per_contact__weekend__night__call__std,0
228,interactions_per_contact__weekend__night__call__min,0
229,interactions_per_contact__weekend__night__call__max,0
230,interactions_per_contact__weekend__night__text__median,1
231,interevent_time__allweek__allday__call__median,0
232,interevent_time__allweek__allday__call__kurtosis,0
233,interevent_time__allweek__allday__call__min,0
234,interevent_time__allweek__allday__text__median,0
235,interevent_time__allweek__allday__text__skewness,1
236,interevent_time__allweek__allday__text__kurtosis,0
237,interevent_time__allweek__day__call__skewness,0
238,interevent_time__allweek__day__call__kurtosis,0
239,interevent_time__allweek__day__call__max,2
240,interevent_time__allweek__day__text__mean,2
241,interevent_time__allweek__day__text__skewness,0
